KepRef,AIF,CNR,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,errKt,errVe,errKep,stdErrKt,stdErrVe,stdErrKep, meanResid, stdResid
1.025000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-0.627653,-0.065265,1.928152,1.761604,0.647391,1.960394,1.264769,0.036387
1.050000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-1.244340,-0.141967,3.845896,1.772366,0.645203,2.017033,1.265129,0.036402
1.075000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-1.854525,-0.214754,5.738543,1.782775,0.643155,2.073887,1.265648,0.036429
1.100000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-2.458286,-0.283905,7.606520,1.792835,0.641233,2.130934,1.266317,0.036467
1.150000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-3.646851,-0.412292,11.270123,1.811937,0.637729,2.245516,1.268086,0.036577
1.200000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-4.810661,-0.528901,14.839954,1.829721,0.634622,2.360610,1.270391,0.036733
1.300000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-7.066452,-0.732469,21.710690,1.861544,0.629373,2.591727,1.276441,0.037179
1.400000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-9.230430,-0.903882,28.242371,1.888713,0.625137,2.823194,1.284153,0.037795
1.500000,Default,10.000000,1.000000,2.500000,4.000000,0.625000,-11.307176,-1.049867,34.456900,1.911628,0.621670,3.054093,1.293253,0.038565
0.500000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,13.991343,3.598590,-44.963931,3.232411,1.744962,1.948819,0.583639,0.038118
0.600000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,10.944018,2.367242,-34.952211,3.394217,1.632066,2.362300,0.576719,0.037679
0.700000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,8.024890,1.514712,-25.489359,3.542900,1.560982,2.804411,0.571955,0.037320
0.800000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,5.228825,0.891843,-16.538630,3.677563,1.513063,3.269522,0.569083,0.037071
0.850000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,3.875294,0.639957,-12.244486,3.739595,1.494712,3.509079,0.568280,0.036995
0.900000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,2.550544,0.418517,-8.065679,3.798142,1.479091,3.752513,0.567859,0.036956
0.925000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,1.898755,0.317596,-6.018294,3.826127,1.472135,3.875510,0.567783,0.036951
0.950000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,1.253911,0.222486,-3.998282,3.853268,1.465674,3.999276,0.567792,0.036956
0.975000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,0.615932,0.132718,-2.005173,3.879573,1.459663,4.123745,0.567884,0.036971
1.000000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-0.015266,0.047871,-0.038507,3.905056,1.454059,4.248860,0.568055,0.036997
1.025000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-0.639764,-0.032432,1.902167,3.929728,1.448826,4.374562,0.568301,0.037033
1.050000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-1.257643,-0.108532,3.817293,3.953601,1.443932,4.500794,0.568620,0.037079
1.075000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-1.868985,-0.180736,5.707306,3.976689,1.439347,4.627504,0.569010,0.037136
1.100000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-2.473869,-0.249323,7.572634,3.999005,1.435046,4.754641,0.569466,0.037204
1.150000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-3.664583,-0.376635,11.230902,4.041378,1.427204,5.009996,0.570569,0.037371
1.200000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-4.830418,-0.492231,14.795356,4.080831,1.420248,5.266488,0.571908,0.037579
1.300000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-7.089916,-0.693936,21.655256,4.151434,1.408498,5.781540,0.575218,0.038118
1.400000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-9.257189,-0.863668,28.176045,4.211724,1.399013,6.297379,0.579251,0.038807
1.500000,Default,10.000000,5.000000,2.500000,4.000000,0.625000,-11.336862,-1.008125,34.379681,4.262590,1.391249,6.811975,0.583882,0.039630
0.500000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,14.028750,3.605553,-44.931365,4.538217,2.436657,2.710968,0.411692,0.038181
0.600000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,10.963580,2.384518,-34.933236,4.758937,2.281310,3.283559,0.407295,0.037827
0.700000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,8.028622,1.539638,-25.486089,4.961551,2.183767,3.895444,0.404452,0.037558
0.800000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,5.218539,0.922724,-16.552696,5.144867,2.118165,4.538861,0.402963,0.037402
0.850000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,3.858617,0.673360,-12.267706,5.229240,2.093082,4.870158,0.402668,0.037374
0.900000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,2.527858,0.454204,-8.098317,5.308826,2.071750,5.206759,0.402644,0.037381
0.925000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,1.873200,0.354347,-6.055728,5.346851,2.062258,5.376812,0.402726,0.037399
0.950000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,1.225576,0.260254,-4.040563,5.383717,2.053445,5.547913,0.402869,0.037426
0.975000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,0.584900,0.171460,-2.052349,5.419438,2.045249,5.719976,0.403069,0.037463
1.000000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-0.048911,0.087547,-0.090621,5.454030,2.037612,5.892920,0.403324,0.037510
1.025000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-0.675942,0.008140,1.845075,5.487510,2.030483,6.066664,0.403632,0.037567
1.050000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-1.296277,-0.067099,3.755188,5.519896,2.023819,6.241132,0.403990,0.037634
1.075000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-1.910000,-0.138475,5.640156,5.551206,2.017578,6.416251,0.404397,0.037711
1.100000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-2.517192,-0.206264,7.500410,5.581459,2.011725,6.591951,0.404851,0.037797
1.150000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-3.712311,-0.332063,11.148455,5.638868,2.001061,6.944821,0.405889,0.038000
1.200000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-4.882283,-0.446249,14.702607,5.692279,1.991609,7.299234,0.407090,0.038241
1.300000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-7.149320,-0.645394,21.541744,5.787738,1.975661,8.010843,0.409921,0.038833
1.400000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-9.323241,-0.812857,28.041677,5.869092,1.962806,8.723468,0.413240,0.039560
1.500000,Default,10.000000,10.000000,2.500000,4.000000,0.625000,-11.408778,-0.955280,34.224475,5.937562,1.952299,9.434330,0.416958,0.040406
0.500000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,13.607939,3.610635,-45.115872,5.582610,2.998672,3.359225,0.336388,0.038530
0.600000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,10.540762,2.377358,-35.154446,5.854554,2.804682,4.069818,0.332887,0.038190
0.700000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,7.604246,1.524940,-25.744814,6.104519,2.682808,4.828695,0.330725,0.037944
0.800000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,4.793092,0.903129,-16.849495,6.331015,2.600781,5.626360,0.329725,0.037815
0.850000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,3.432819,0.651963,-12.583679,6.435390,2.569397,6.037006,0.329609,0.037802
0.900000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,2.101831,0.431322,-8.433521,6.533929,2.542694,6.454194,0.329723,0.037826
0.925000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,1.447103,0.330822,-6.400561,6.581043,2.530806,6.664953,0.329860,0.037852
0.950000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,0.799438,0.236144,-4.395030,6.626741,2.519768,6.877008,0.330048,0.037887
0.975000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,0.158751,0.146817,-2.416454,6.671040,2.509499,7.090254,0.330285,0.037932
1.000000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,-0.475044,0.062419,-0.464364,6.713960,2.499927,7.304591,0.330567,0.037987
1.025000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,-1.102031,-0.017429,1.461697,6.755522,2.490990,7.519921,0.330895,0.038052
1.050000,Default,10.000000,15.000000,2.500000,4.000000,0.625000,-1.722295,-0.093070,3.362179,6.795745,2.482632,7.736150,0.331265,0.038126
